題目,正確答案,選項一,選項二,選項三,選項四
問題#78公司需要將使⽤者交易資料保存在 Amazon DynamoDB 表中。公司必須將資料保留 7 年。滿⾜這些要求的最⾼效的營運解決⽅案是什麼？,, 使⽤DynamoDB時間點復原來連續備份表。, 使⽤ AWS Backup 為表格建立備份計畫和保留策略。, 使⽤ DynamoDB 控制台建立表格的按需備份。將備份儲存在 Amazon S3 儲存桶中。為 S3 儲存桶設定 S3 ⽣命週期配置。, 建立 Amazon EventBridge (Amazon CloudWatch Events) 規則以呼叫 AWS Lambda 函數。配置 Lambda 函數以備份表並將備份儲存在Amazon S3 儲存桶中。為 S3 儲存桶設定 S3 ⽣命週期配置。
問題 #79⼀家公司計劃使⽤ Amazon DynamoDB 表格進⾏資料儲存。該公司專注於成本優化。⼤多數早晨不會使⽤該桌⼦。在晚上，讀寫流量往往是不可預測的。當流量⾼峰發⽣時，它們會發⽣得非常快。解決⽅案架構師該推薦什麼？,, 以按需容量模式建立 DynamoDB 表。, 建立具有全域⼆級索引的 DynamoDB 表。, 建立具有預先配置容量和⾃動縮放功能的 DynamoDB 表。, 在預先配置容量模式下建立 DynamoDB 表，並將其配置為全域表。
問題 #80⼀家公司最近與 AWS 託管服務提供商 (MSP) 合作夥伴簽署了⼀份合同，尋求應⽤程式遷移計劃的協助。解決⽅案架構師需要與 MSP合作夥伴的 AWS 帳⼾共⽤現有 AWS 帳⼾中的 Amazon 系統映像 (AMI)。AMI 由 Amazon Elastic Block Store (Amazon EBS) ⽀持，並使⽤AWS Key Management Service (AWS KMS) 客⼾託管⾦鑰來加密 EBS 磁碟區快照。解決⽅案架構師與 MSP 合作夥伴的 AWS 帳⼾共享 AMI 的最安全⽅式是什麼？,, 公開加密的 AMI 和快照。修改⾦鑰策略以允許 MSP 合作夥伴的 AWS 帳⼾使⽤該⾦鑰。, 修改 AMI 的 launchPermission 屬性。僅與 MSP 合作夥伴的 AWS 帳⼾共⽤ AMI。修改⾦鑰策略以允許 MSP 合作夥伴的 AWS 帳⼾使⽤該⾦鑰。, 修改 AMI 的 launchPermission 屬性。僅與 MSP 合作夥伴的 AWS 帳⼾共⽤ AMI。修改⾦鑰策略以信任 MSP 合作夥伴擁有的新KMS ⾦鑰進⾏加密。, 將 AMI 從來源帳⼾匯出到 MSP 合作夥伴 AWS 帳⼾中的 Amazon S3 儲存桶，使⽤ MSP 合作夥伴擁有的新 KMS ⾦鑰加密 S3 儲存桶。在 MSP 合作夥伴的 AWS 帳⼾中複製並啟動 AMI。
問題#81解決⽅案架構師正在為部署在 AWS 上的新應⽤程式設計雲端架構。該過程應該並⾏運⾏，同時根據要處理的作業數量根據需要添加和刪除應⽤程式節點。處理器應⽤程式是無狀態的。解決⽅案架構師必須確保應⽤程式是鬆散耦合的，並且作業項⽬是持久的儲存。解決⽅案架構師應該使⽤哪種設計？,, 建立 Amazon SNS 主題以傳送需要處理的作業。建立包含處理器應⽤程式的 Amazon 系統映像 (AMI)。建立使⽤ AMI 的啟動配置。使⽤啟動配置建立 Auto Scaling 群組。設定Auto Scaling群組的伸縮策略，根據CPU使⽤情況新增和刪除節點。, 建立 Amazon SQS 佇列來保存需要處理的作業。建立包含處理器應⽤程式的 Amazon 系統映像 (AMI)。建立使⽤ AMI 的啟動配置。使⽤啟動配置建立 Auto Scaling 群組。設定 Auto Scaling 群組的伸縮策略，根據網路使⽤情況新增和刪除節點。, 建立⼀個 Amazon SQS 佇列來保存需要處理的作業。建立包含處理器應⽤程式的 Amazon 系統映像 (AMI)。建立使⽤ AMI 的啟動範本。使⽤啟動範本建立 Auto Scaling 群組。設定 Auto Scaling 群組的擴充策略，以根據 SQS 佇列中的項⽬數新增和刪除節點。, 建立 Amazon SNS 主題以傳送需要處理的作業。建立包含處理器應⽤程式的 Amazon 系統映像 (AMI)。建立使⽤ AMI 的啟動範本。使⽤啟動範本建立 Auto Scaling 群組。設定 Auto Scaling 群組的伸縮策略，根據發佈到 SNS 主題的訊息數量新增和刪除節點。
問題 #82⼀家公司在 AWS 雲端中託管其 Web 應⽤程式。該公司將 Elastic Load Balancer 配置為使⽤匯入到 AWS Certicate Manager (ACM) 中的憑證。必須在每個證書到期前 30 天通知公司的安全團隊。解決⽅案架構師應該建議什麼來滿⾜此要求？,, 在 ACM 中新增⼀條規則，從任何憑證到期前 30 天開始，每天在 Amazon Simple Notication Service (Amazon SNS) 主題發佈⾃訂訊息。, 建立⼀條 AWS Cong 規則來檢查將在 30 天內過期的憑證。配置 Amazon EventBridge (Amazon CloudWatch Events)，以便在 AWSCong 報告不合規資源時透過 Amazon Simple Notication Service (Amazon SNS) 呼叫⾃訂警報。, 使⽤ AWS Trusted Advisor 檢查將在 30 天內過期的憑證。建立基於 Trusted Advisor 指標的 Amazon CloudWatch 警報以檢查狀態變更。配置警報以透過 Amazon Simple Notication Service (Amazon SNS) 發送⾃訂警報。, 建立 Amazon EventBridge (Amazon CloudWatch Events) 規則以偵測將在 30 天內過期的任何憑證。配置規則以呼叫 AWS Lambda 函數。配置 Lambda 函數以透過 Amazon Simple Notication Service (Amazon SNS) 發送⾃訂警報。
問題#83⼀家公司的動態網站使⽤美國的本地伺服器託管。該公司正在歐洲推出其產品，並希望為新的歐洲⽤⼾優化網站載入時間。該網站的後端必須保留在美國。該產品幾天後就要推出，需要立即解決。解決⽅案架構師該推薦什麼？,, 在 us-east-1 中啟動 Amazon EC2 執⾏個體並將網站移轉到其中。, 將網站移⾄ Amazon S3。在區域之間使⽤跨區域複製。, 使⽤ Amazon CloudFront 以及指向本機伺服器的⾃訂來源。, 使⽤指向本機伺服器的 Amazon Route 53 地理位置鄰近路由原則。
問題#84⼀家公司希望降低現有三層 Web 架構的成本。Web、應⽤程式和資料庫伺服器在⽤於開發、測試和⽣產環境的 Amazon EC2 執⾏個體上執⾏。EC2 執⾏個體在尖峰時段平均 CPU 使⽤率為 30%，在非尖峰時段平均 CPU 使⽤率為 10%。⽣產 EC2 執⾏個體每天 24 ⼩時運作。開發和測試EC2實例每天⾄少運⾏8⼩時。該公司計劃實施⾃動化，以在 EC2 執⾏個體不使⽤時停⽌開發和測試。哪種 EC2 執⾏個體購買解決⽅案能夠最經濟且有效率地滿⾜公司的要求？,, 將 Spot 執⾏個體⽤於⽣產 EC2 執⾏個體。使⽤預留執⾏個體來開發和測試 EC2 執⾏個體。, 將預留執⾏個體⽤於⽣產 EC2 執⾏個體。使⽤隨選執⾏個體來開發和測試 EC2 執⾏個體。, 將 Spot 區塊⽤於⽣產 EC2 執⾏個體。使⽤預留執⾏個體來開發和測試 EC2 執⾏個體。, 對⽣產 EC2 執⾏個體使⽤隨選執⾏個體。使⽤ Spot 區塊來開發和測試 EC2 執⾏個體。
問題#85⼀家公司有⼀個⽣產 Web 應⽤程序，⽤⼾可以透過 Web 介⾯或⾏動應⽤程式上傳文件。根據新的監管要求。新文檔儲存後無法修改或刪除。解決⽅案架構師應該怎麼做才能滿⾜這項要求？,, 將上傳的文件儲存在啟⽤了 S3 版本控制和 S3 物件鎖定的 Amazon S3 儲存桶中。, 將上傳的文件儲存在 Amazon S3 儲存桶中。配置 S3 ⽣命週期策略以定期歸檔文件。, 將上傳的文件儲存在啟⽤了 S3 版本控制的 Amazon S3 儲存桶中。配置 ACL 以將所有存取限制為唯讀。, 將上傳的文件儲存在 Amazon Elastic File System (Amazon EFS) 磁碟區上。透過以唯讀模式安裝磁碟區來存取資料。
問題 #86某公司擁有多台 Web 伺服器，需要經常存取通⽤ Amazon RDS MySQL 多可⽤區資料庫執⾏個體。該公司希望有⼀種安全的⽅法讓Web 伺服器連接到資料庫，同時滿⾜頻繁輪換使⽤者憑證的安全要求。哪種解決⽅案滿⾜這些要求？,, 將資料庫使⽤者憑證儲存在 AWS Secrets Manager 中。授予必要的 IAM 權限以允許 Web 伺服器存取 AWS Secrets Manager。, 將資料庫使⽤者憑證儲存在 AWS Systems Manager OpsCenter 中。授予必要的 IAM 權限以允許 Web 伺服器存取 OpsCenter。, 將資料庫使⽤者憑證儲存在安全的 Amazon S3 儲存桶中。授予必要的 IAM 權限以允許 Web 伺服器檢索憑證並存取資料庫。, 將資料庫使⽤者憑證儲存在 Web 伺服器檔案系統上使⽤ AWS Key Management Service (AWS KMS) 加密的檔案中。Web 伺服器應該能夠解密檔案並存取資料庫。
問題 #87⼀家公司在由 Amazon API Gateway API 呼叫的 AWS Lambda 函數上託管應⽤程式。Lambda 函數將客⼾資料儲存到 Amazon AuroraMySQL 資料庫。每當公司升級資料庫時，Lambda 函數都無法建立資料庫連接，直到升級完成。結果是某些事件的客⼾資料沒有被記錄。解決⽅案架構師需要設計⼀個解決⽅案來儲存資料庫升級期間建立的客⼾資料。哪種解決⽅案可以滿⾜這些要求？,, 配置 Amazon RDS 代理程式以位於 Lambda 函數和資料庫之間。配置 Lambda 函數以連接到 RDS 代理程式。, 將 Lambda 函數的運⾏時間增加到最⼤值。在將客⼾資料儲存在資料庫中的程式碼中建立重試機制。, 將客⼾資料儲存到 Lambda 本地儲存。配置新的 Lambda 函數以掃描本機儲存以將客⼾資料儲存到資料庫。, 將客⼾資料儲存在 Amazon Simple Queue Service (Amazon SQS) FIFO 佇列中。建立⼀個新的 Lambda 函數來輪詢佇列並將客⼾資料儲存在資料庫中。
問題 #88⼀家調查公司多年來⼀直在美國地區收集數據。該公司將資料託管在⼀個⼤⼩為 3 TB 並且還在不斷增⻑的 Amazon S3 儲存桶中。該公司已開始與⼀家擁有 S3 儲存桶的歐洲⾏銷公司共享資料。該公司希望確保其數據傳輸成本保持盡可能低。哪種解決⽅案可以滿⾜這些要求？,, 在公司的 S3 儲存桶上設定請求者付款功能。, 配置從公司的 S3 儲存桶到⾏銷公司的 S3 儲存桶之⼀的 S3 跨區域複製。, 為⾏銷公司配置跨帳⼾訪問，以便⾏銷公司能夠存取公司的 S3 儲存桶。, 配置公司的 S3 儲存桶以使⽤ S3 智慧分層。將 S3 儲存桶同步到⾏銷公司的 S3 儲存桶之⼀。
問題#89⼀家公司使⽤ Amazon S3 儲存其機密審計文件。S3 儲存桶使⽤儲存桶策略根據最⼩權限原則限制對審核團隊 IAM 使⽤者憑證的存取。公司經理擔⼼ S3 儲存桶中的文件被意外刪除，並希望有⼀個更安全的解決⽅案。解決⽅案架構師應該怎麼做才能確保審計文件的安全？,, 在 S3 儲存桶上啟⽤版本控制和 MFA 刪除功能。, 對每個審核團隊 IAM 使⽤者帳⼾的 IAM 使⽤者憑證啟⽤多重驗證 (MFA)。, 將 S3 ⽣命週期策略新增⾄審核團隊的 IAM 使⽤者帳⼾，以在審核⽇期期間拒絕 s3:DeleteObject 操作。, 使⽤ AWS Key Management Service (AWS KMS) 加密 S3 儲存桶並限制審核團隊 IAM 使⽤者帳⼾存取 KMS ⾦鑰。
問題＃90⼀家公司正在使⽤ SQL 資料庫來儲存可公開存取的電影資料。此資料庫在 Amazon RDS 單可⽤區資料庫執⾏個體上執⾏。腳本每天以隨機間隔執⾏查詢，以記錄已新增⾄資料庫中的新電影的數量。該腳本必須在⼯作時間內報告最終總數。該公司的開發團隊注意到，在腳本運⾏時，資料庫效能不⾜以滿⾜開發任務。解決⽅案架構師必須推薦⼀個解決⽅案來解決此問題。哪種解決⽅案能夠以最少的營運開銷滿⾜這項要求？,, 將資料庫執⾏個體修改為多可⽤區部署。, 建立資料庫的唯讀副本。配置腳本以僅查詢只讀副本。, 指⽰開發團隊在每天結束時⼿動匯出資料庫中的條⽬。, 使⽤ Amazon ElastiCache 快取腳本針對資料庫執⾏的常⾒查詢。
問題#91⼀家公司擁有在 VPC 中的 Amazon EC2 執⾏個體上執⾏的應⽤程式。其中⼀個應⽤程式需要呼叫 Amazon S3 API 來儲存和讀取物件。根據該公司的安全規定，不允許來⾃應⽤程式的流量透過網路傳輸。哪種解決⽅案可以滿⾜這些要求？,, 設定 S3 閘道端點。, 在私有⼦網路中建立 S3 儲存桶。, 在與 EC2 執⾏個體相同的 AWS 區域中建立 S3 儲存桶。, 在與 EC2 執⾏個體相同的⼦網路中設定 NAT 閘道。
問題#92⼀家公司將敏感⽤⼾資訊儲存在 Amazon S3 儲存桶中。該公司希望從 VPC 內的 Amazon EC2 執⾏個體上執⾏的應⽤程式層提供對此儲存桶的安全存取。解決⽅案架構師應該採取哪些步驟組合來實現這⼀⽬標？（選兩個。）,, 在 VPC 內為 Amazon S3 設定 VPC 閘道終端節點。, 建立儲存桶策略，將 S3 儲存桶中的物件公開。, 建立儲存桶策略，僅限制對 VPC 中執⾏的應⽤程式層的存取。, 使⽤ S3 存取策略建立 IAM 使⽤者並將 IAM 憑證複製到 EC2 執⾏個體。E. 建立 NAT 執⾏個體並讓 EC2 執⾏個體使⽤ NAT 執⾏個體存取 S3 儲存桶。
問題 #93⼀家公司運⾏由 MySQL 資料庫提供⽀援的本機應⽤程式。該公司正在將應⽤程式遷移到AWS，以提⾼應⽤程式的彈性和可⽤性。⽬前的體系結構在正常操作期間顯⽰資料庫上的⼤量讀取活動。每 4 ⼩時，公司的開發團隊就會完整匯出⽣產資料庫，以填入臨時環境中的資料庫。在此期間，⽤⼾會遇到不可接受的應⽤程式延遲。在流程完成之前，開發團隊無法使⽤暫存環境。解決⽅案架構師必須推薦可緩解應⽤程式延遲問題的替代架構。替換架構也必須使開發團隊能夠立即繼續使⽤登台環境。哪種解決⽅案滿⾜這些要求？,, 將 Amazon Aurora MySQL 與多可⽤區 Aurora 副本結合使⽤進⾏⽣產。透過實作使⽤ mysqldump 實⽤程式的備份和復原程序來填入臨時資料庫。, 使⽤ Amazon Aurora MySQL 和多可⽤區 Aurora 副本進⾏⽣產。使⽤資料庫克隆按需建立臨時資料庫。, 使⽤ Amazon RDS for MySQL 進⾏多可⽤區部署和⽣產唯讀副本。使⽤備⽤實例作為臨時資料庫。, 使⽤ Amazon RDS for MySQL 進⾏多可⽤區部署和⽣產唯讀副本。透過實作使⽤ mysqldump 實⽤程式的備份和復原程序來填入臨時資料庫。
問題 #94⼀家公司正在設計⼀個應⽤程序，⽤⼾可以將⼩檔案上傳到 Amazon S3。⽤⼾上傳檔案後，需要對檔案進⾏⼀次簡單處理，將資料進⾏轉換，並將資料儲存為JSON格式以供後續分析。每個文件上傳後必須盡快處理。需求會有所不同。有時，使⽤者會上傳⼤量文件。在其他⽇⼦裡，使⽤者會上傳⼀些檔案或不上傳任何檔案。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 配置 Amazon EMR 以從 Amazon S3 讀取文字檔。運⾏處理腳本來轉換資料。將產⽣的 JSON 檔案儲存在 Amazon Aurora 資料庫叢集中。, 設定 Amazon S3 以將事件通知傳送⾄ Amazon Simple Queue Service (Amazon SQS) 佇列。使⽤ Amazon EC2 執⾏個體從佇列讀取並處理資料。將產⽣的 JSON 檔案儲存在 Amazon DynamoDB 中。, 設定 Amazon S3 以將事件通知傳送⾄ Amazon Simple Queue Service (Amazon SQS) 佇列。使⽤ AWS Lambda 函數從佇列讀取並處理資料。將產⽣的 JSON 檔案儲存在 Amazon DynamoDB 中。, 配置 Amazon EventBridge (Amazon CloudWatch Events) 以在上傳新檔案時將事件傳送⾄ Amazon Kinesis Data Streams。使⽤ AWSLambda 函數使⽤流中的事件並處理資料。將產⽣的 JSON 檔案儲存在 Amazon Aurora 資料庫叢集中。
問題#95應⽤程式允許公司總部的使⽤者存取產品資料。產品資料儲存在 Amazon RDS MySQL 資料庫執⾏個體中。營運團隊已隔離應⽤程式效能下降問題，並希望將讀取流量與寫入流量分開。解決⽅案架構師需要快速優化應⽤程式的效能。解決⽅案架構師該推薦什麼？,, 將現有資料庫變更為多可⽤區部署。服務來⾃主可⽤區的讀取請求。, 將現有資料庫變更為多可⽤區部署。服務來⾃輔助可⽤區的讀取請求。, 為資料庫建立唯讀副本。配置唯讀副本，使⽤⼀半的運算和儲存資源作為來源資料庫。, 為資料庫建立唯讀副本。使⽤與來源資料庫相同的運算和儲存資源配置唯讀副本。
